                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4862,                 2.9904,                 2.3456,                0.68001,                0.08721,                0.09014,                 0.0253,                  2.545,                 3.1982,                 2.7023,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.9697,                 2.3889,                 1.9545,                0.16239,                0.27382,                0.15242,                 0.0532,                 2.1263,                 4.6669,                 2.1426,             0.00050398,             0.00050398,             0.00050398
                      3,                 1.7922,                 2.3929,                 1.7969,                0.69616,                0.22674,                 0.2236,                0.07856,                 2.0312,                 4.4974,                 1.9067,             0.00074471,             0.00074471,             0.00074471
                      4,                 1.6496,                 2.1204,                 1.6242,                 0.6332,                0.25581,                0.22697,                0.08114,                 1.9787,                 7.7419,                 1.9385,             0.00097223,             0.00097223,             0.00097223
                      5,                 1.6797,                 2.1549,                 1.6443,                0.10312,                0.24194,                0.11273,                0.02934,                 2.0326,                 4.9732,                 2.1719,              0.0011866,              0.0011866,              0.0011866
                      6,                 1.6872,                 2.5538,                 1.8168,                0.10312,                0.24194,                0.11273,                0.02934,                 2.0326,                 4.9732,                 2.1719,              0.0013877,              0.0013877,              0.0013877
                      7,                 1.6409,                 2.5986,                 1.7762,                0.73529,                0.04651,                0.09826,                0.03916,                  1.748,                 28.366,                  2.092,              0.0014195,              0.0014195,              0.0014195
                      8,                 1.7903,                 5.6025,                 1.8965,                0.73529,                0.04651,                0.09826,                0.03916,                  1.748,                 28.366,                  2.092,              0.0014195,              0.0014195,              0.0014195
                      9,                 1.6454,                 5.7457,                 1.7903,                0.12545,                 0.0814,                 0.0664,                0.02818,                 1.7398,                 5.8121,                 1.8821,              0.0013782,              0.0013782,              0.0013782
                     10,                  1.773,                 2.6781,                 1.7994,                0.12545,                 0.0814,                 0.0664,                0.02818,                 1.7398,                 5.8121,                 1.8821,              0.0013369,              0.0013369,              0.0013369
                     11,                  1.775,                 2.6833,                 1.7752,                0.29333,                0.61272,                0.35843,                0.15164,                 2.0141,                 4.8379,                 2.3481,              0.0012957,              0.0012957,              0.0012957
                     12,                 1.8736,                 2.1784,                 1.8243,                0.29333,                0.61272,                0.35843,                0.15164,                 2.0141,                 4.8379,                 2.3481,              0.0012544,              0.0012544,              0.0012544
                     13,                 1.8491,                 2.1542,                 1.8345,                0.57537,                0.44813,                0.49342,                  0.229,                 1.6637,                 2.5172,                 1.9262,              0.0012132,              0.0012132,              0.0012132
                     14,                 1.6427,                  2.076,                 1.6692,                0.57537,                0.44813,                0.49342,                  0.229,                 1.6637,                 2.5172,                 1.9262,              0.0011719,              0.0011719,              0.0011719
                     15,                 1.7339,                 2.0257,                 1.6836,                 0.4355,                0.30795,                0.35793,                0.10848,                 1.9479,                 2.7987,                 2.1343,              0.0011306,              0.0011306,              0.0011306
                     16,                 1.5606,                   2.09,                 1.6107,                 0.4355,                0.30795,                0.35793,                0.10848,                 1.9479,                 2.7987,                 2.1343,              0.0010894,              0.0010894,              0.0010894
                     17,                 1.5916,                 2.1239,                 1.6075,                0.47356,                 0.2274,                0.31927,                0.15367,                 1.6772,                 2.8716,                 1.9446,              0.0010481,              0.0010481,              0.0010481
                     18,                  1.479,                 1.7702,                  1.528,                0.47356,                 0.2274,                0.31927,                0.15367,                 1.6772,                 2.8716,                 1.9446,              0.0010069,              0.0010069,              0.0010069
                     19,                 1.5456,                 1.8459,                 1.6258,                 0.5792,                0.47337,                0.58002,                0.28862,                 1.5736,                 2.6018,                 1.7234,             0.00096561,             0.00096561,             0.00096561
                     20,                 1.3941,                 1.6588,                 1.4865,                 0.5792,                0.47337,                0.58002,                0.28862,                 1.5736,                 2.6018,                 1.7234,             0.00092435,             0.00092435,             0.00092435
                     21,                 1.5544,                 1.9041,                 1.6507,                0.70779,                0.61436,                0.63897,                0.33888,                 1.3463,                 1.9964,                 1.5673,             0.00088309,             0.00088309,             0.00088309
                     22,                 1.4486,                 1.7223,                 1.4883,                0.70779,                0.61436,                0.63897,                0.33888,                 1.3463,                 1.9964,                 1.5673,             0.00084184,             0.00084184,             0.00084184
                     23,                 1.4097,                 1.6245,                 1.4655,                0.75089,                0.68397,                0.78333,                0.48721,                 1.2803,                 1.6656,                 1.5128,             0.00080058,             0.00080058,             0.00080058
                     24,                 1.4083,                 1.5774,                 1.4362,                0.75089,                0.68397,                0.78333,                0.48721,                 1.2803,                 1.6656,                 1.5128,             0.00075932,             0.00075932,             0.00075932
                     25,                 1.4138,                 1.5342,                 1.4745,                0.83182,                0.69407,                0.82724,                0.52075,                  1.243,                 1.5099,                 1.4721,             0.00071806,             0.00071806,             0.00071806
                     26,                  1.338,                 1.3842,                 1.4285,                0.83182,                0.69407,                0.82724,                0.52075,                  1.243,                 1.5099,                 1.4721,              0.0006768,              0.0006768,              0.0006768
                     27,                 1.3446,                 1.4135,                 1.4722,                0.74325,                0.73057,                0.82614,                0.52191,                 1.2927,                 1.5783,                 1.5167,             0.00063554,             0.00063554,             0.00063554
                     28,                 1.3187,                 1.3177,                 1.4449,                0.74325,                0.73057,                0.82614,                0.52191,                 1.2927,                 1.5783,                 1.5167,             0.00059429,             0.00059429,             0.00059429
                     29,                 1.2764,                 1.2579,                 1.3885,                0.82458,                0.78274,                0.85016,                0.54884,                 1.2877,                 1.7178,                 1.5197,             0.00055303,             0.00055303,             0.00055303
                     30,                 1.3402,                 1.4278,                 1.4612,                0.82458,                0.78274,                0.85016,                0.54884,                 1.2877,                 1.7178,                 1.5197,             0.00051177,             0.00051177,             0.00051177
                     31,                 1.1995,                 1.2415,                 1.4279,                0.79713,                0.75278,                0.84763,                0.53989,                 1.2252,                 1.4128,                  1.438,             0.00047051,             0.00047051,             0.00047051
                     32,                 1.0936,                 1.0578,                 1.3165,                0.79713,                0.75278,                0.84763,                0.53989,                 1.2252,                 1.4128,                  1.438,             0.00042925,             0.00042925,             0.00042925
                     33,                 1.0655,                 1.0214,                 1.3014,                0.72353,                0.77607,                0.80745,                0.54246,                  1.148,                   1.39,                 1.3777,             0.00038799,             0.00038799,             0.00038799
                     34,                0.94779,                 1.0224,                 1.2437,                0.72353,                0.77607,                0.80745,                0.54246,                  1.148,                   1.39,                 1.3777,             0.00034674,             0.00034674,             0.00034674
                     35,                0.97898,                 1.0329,                 1.2661,                0.84631,                0.77607,                0.87107,                0.59714,                 1.0991,                 1.3155,                 1.3205,             0.00030548,             0.00030548,             0.00030548
                     36,                0.87903,                0.91846,                 1.1677,                0.84631,                0.77607,                0.87107,                0.59714,                 1.0991,                 1.3155,                 1.3205,             0.00026422,             0.00026422,             0.00026422
                     37,                0.84937,                0.90703,                 1.1483,                0.85202,                0.86729,                 0.9119,                0.64828,                 1.0664,                 1.2458,                 1.2989,             0.00022296,             0.00022296,             0.00022296
                     38,                0.82913,                0.87347,                 1.1565,                0.85202,                0.86729,                 0.9119,                0.64828,                 1.0664,                 1.2458,                 1.2989,              0.0001817,              0.0001817,              0.0001817
                     39,                0.80659,                0.85384,                 1.1295,                0.91805,                0.84284,                0.93303,                0.68828,                 1.0099,                 1.1974,                 1.2645,             0.00014044,             0.00014044,             0.00014044
                     40,                0.76701,                0.81703,                 1.1151,                0.91805,                0.84284,                0.93303,                0.68828,                 1.0099,                 1.1974,                 1.2645,             9.9187e-05,             9.9187e-05,             9.9187e-05
